scheme_code,scheme_name
101763,HDFC Flexi Cap Fund - IDCW Plan
101764,HDFC Value Fund - Growth Plan
101765,HDFC Value Fund - IDCW Plan
101766,Tata Infrastructure Fund-Regular Plan- Growth Option
101802,ICICI Prudential Floating Interest Fund - Growth
101803,ICICI Prudential Floating Interest Fund - Fortnightly IDCW
101804,ICICI Prudential Floating Interest Fund - Daily IDCW
101805,JM Dynamic Bond Fund (Regular) - IDCW
101806,JM Dynamic Bond Fund (Regular) - Growth Option
101816,Aditya Birla Sun Life Regular Savings Fund - REGULAR - MONTHLY IDCW
101818,Aditya Birla Sun Life Regular Savings Fund - Growth / Payment - Regular Plan
101823,Tata Large & Mid Cap Fund Regular Plan - Payout of IDCW Option
101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
101829,LIC MF Low Duration Fund-Regular Plan-Monthly IDCW
101830,LIC MF Low Duration Fund-Regular Plan-Growth
101833,Tata Ethical Fund- Regular Plan - Payout of IDCW Option
101837,DSP Credit Risk Fund - Regular Plan -Growth
101838,DSP Credit Risk Fund - Regular Plan - IDCW - Weekly
101839,DSP Credit Risk Fund - Regular Plan - IDCW
101840,DSP Credit Risk Fund - Regular Plan - IDCW - Daily
101843,Aditya Birla Sun Life Short Term Fund - REGULAR - IDCW
101844,Aditya Birla Sun Life Short Term Fund - Growth - Regular Plan
101847,Tata Money Market Fund-Regular Plan - Growth Option
101852,TATA Infrastructure Fund Regular Plan - Payout of IDCW Option
101853,Sundaram Value Fund Regular Plan - Growth
101862,Nippon India Banking & Financial Services Fund-Growth Plan-Growth Option
101863,Nippon India Banking & Financial Services Fund-Growth Plan-Bonus Option
101864,Nippon India Banking & Financial Services Fund - IDCW Option
101866,LIC MF Conservative Hybrid Fund-Regular Plan-Monthly IDCW
101867,LIC MF Conservative Hybrid Fund-Regular Plan-Quarterly IDCW
101868,LIC MF Conservative Hybrid Fund-Regular Plan-Yearly IDCW
101869,LIC MF Conservative Hybrid Fund-Regular Plan-Growth
101872,HDFC Dynamic Debt Fund - Growth Option
101873,HDFC Dynamic Debt Fund - Quarterly IDCW Option
101874,HDFC Dynamic Debt Fund - Half Yearly IDCW Option
101875,HDFC Dynamic Debt Fund - Yearly IDCW Option
101892,Kotak Money market Fund - (Monthly Payout of Income Distribution cum capital withdrawal option)
101893,Kotak Money Market Fund - (Growth)
101906,Tata Equity Savings Fund -Regular Plan-Growth Option
101909,Tata Dynamic Bond Fund- Regular Plan - Growth Option
101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option
101913,BARODA HYBRID EQUITY FUND - Plan A - IDCW Option
101922,CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - GROWTH OPTION
101923,CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)
101932,SBI MAGNUM GILT FUND -  GROWTH - PF (Regular) Option
101934,SBI MAGNUM GILT FUND -  GROWTH - PF (Fixed Period - 3 Yrs) Option
101935,SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Regular)
101945,Tata Gilt Retirement Plan- 28/2/25 Growth Option
101950,SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 1 Yr)
101951,SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 2 Yrs)
101952,SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 3 Yrs)
101970,Aditya Birla Sun Life Money Manager Fund - RETAIL - WEEKLY IDCW
101971,Aditya Birla Sun Life Money Manager Fund - Retail Growth
101972,Aditya Birla Sun Life Money Manager Fund - Retail - Daily IDCW
101973,Aditya Birla Sun Life Money Manager Fund - Daily IDCW
101974,Aditya Birla Sun Life Money Manager Fund - WEEKLY IDCW
101976,Aditya Birla Sun Life Money Manager Fund - Growth
101979,HDFC ELSS Tax saver - Growth Plan
101980,HDFC ELSS Tax saver - IDCW Plan
101986,Tata Money Market Fund- Regular Plan - Daily Reinvestment of IDCW Option
101989,HDFC Medium Term Debt Fund - Growth Option
101990,HDFC Medium Term Debt Fund - Fornightly IDCW Option
101993,HDFC Money Market Fund - Growth Option
101994,HDFC Money Market Fund - Daily IDCW Option
101995,HDFC Money Market Fund - Weekly IDCW Option
101996,HDFC Overnight Fund - Growth Option
101997,HDFC Overnight Fund - IDCW Option (Daily)
102000,HDFC Large Cap Fund - Growth Option - Regular Plan
102001,HDFC Large Cap Fund - IDCW Option - Regular Plan
102007,UTI-  Liquid Cash Plan- Discontinued -Regular Plan Periodic Dividend Option
102008,UTI-  Liquid Cash Plan- Discontinued - Regular Plan - Monthly Dividend Option
102009,UTI-  Liquid Cash Plan- Discontinued - Regular Plan -Growth
102010,UTI Liquid Fund - Regular Plan - Daily IDCW (Reinvestment)
102011,UTI Liquid Fund - Regular Plan - Monthly IDCW
102012,UTI-  Liquid Cash Plan - Regular Plan - Growth Option
102013,UTI Liquid Fund - Regular Plan - Weekly IDCW
102020,Baroda BNP Paribas MULTI CAP FUND - Regular Plan - Growth Option
102021,Baroda BNP Paribas MULTI CAP FUND - Regular Plan - IDCW Option
