scheme_code,scheme_name,canonical_scheme_name,match_key,category,is_active,rejection_reason
119819,SBI MAGNUM LOW DURATION FUND - - WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Magnum Low Duration Fund - - Weekly Income Distribution Cum Capital Withdrawal ( ),sbimagnumlowdurationweeklyincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119820,SBI SAVINGS FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Savings Fund - - Income Distribution Cum Capital Withdrawal ( ),sbisavingsincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119821,SBI SAVINGS FUND - -,Sbi Savings Fund - -,sbisavings,unknown,True,Unknown Category
119822,SBI SAVINGS FUND - DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Savings Fund - Daily Income Distribution Cum Capital Withdrawal ( ),sbisavingsdailyincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119823,SBI SAVINGS FUND - WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Savings Fund - Weekly Income Distribution Cum Capital Withdrawal ( ),sbisavingsweeklyincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119824,SBI MAGNUM MEDIUM DURATION FUND - -,Sbi Magnum Medium Duration Fund - -,sbimagnummediumduration,unknown,True,Unknown Category
119825,SBI MAGNUM MEDIUM DURATION FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Magnum Medium Duration Fund - - Income Distribution Cum Capital Withdrawal ( ),sbimagnummediumdurationincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119828,SBI MAGNUM ULTRA SHORT DURATION FUND - -,Sbi Magnum Ultra Short Duration Fund - -,sbimagnumultrashortduration,unknown,True,Unknown Category
119829,SBI MAGNUM ULTRA SHORT DURATION FUND - - WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Magnum Ultra Short Duration Fund - - Weekly Income Distribution Cum Capital Withdrawal ( ),sbimagnumultrashortdurationweeklyincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119831,SBI OVERNIGHT FUND - - DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Overnight Fund - - Daily Income Distribution Cum Capital Withdrawal ( ),sbiovernightdailyincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
