scheme_code,scheme_name,canonical_scheme_name,match_key,category,is_active
113566,BNP PARIBAS MID CAP FUND-,Bnp Paribas Mid Cap Fund-,bnpparibasmidcap,mid_cap,True
113567,BNP PARIBAS MID CAP FUND INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Bnp Paribas Mid Cap Fund Income Distribution Cum Capital Withdrawal,bnpparibasmidcapincomedistributioncumcapitalwithdrawal,mid_cap,True
114456,MOTILAL OSWAL NIFTY MIDCAP 100 ETF,Motilal Oswal Nifty Midcap 100 Etf,motilaloswalniftymidcap100etf,index_fund,True
114457,KOTAK LARGE CAP FUND - OF INCOME DISTRIBUTION CUMCAPITAL WITHDRAWAL,Kotak Large Cap Fund - Of Income Distribution Cumcapital Withdrawal,kotaklargecapofincomedistributioncumcapitalwithdrawal,large_cap,True
114458,KOTAK LARGE CAP FUND -,Kotak Large Cap Fund -,kotaklargecap,large_cap,True
114564,AXIS MIDCAP FUND - -,Axis Midcap Fund - -,axismidcap,mid_cap,True
114565,AXIS MIDCAP FUND - -,Axis Midcap Fund - -,axismidcap,mid_cap,True
114984,MOTILAL OSWAL NASDAQ 100 ETF (MOFN100),Motilal Oswal Nasdaq 100 Etf (Mofn100),motilaloswalnasdaq100etfmofn100,index_fund,True
115127,ADITYA BIRLA SUN LIFE GOLD ETF,Aditya Birla Sun Life Gold Etf,adityabirlasunlifegoldetf,index_fund,True
115270,UNION FLEXI CAP FUND -,Union Flexi Cap Fund -,unionflexicap,multi_cap,True
115284,INVESCO INDIA NIFTY 50 EXCHANGE TRADED FUND,Invesco India Nifty 50 Exchange Traded Fund,invesconifty50exchangetraded,index_fund,True
115290,UNION FLEXI CAP FUND -,Union Flexi Cap Fund -,unionflexicap,multi_cap,True
115512,ADITYA BIRLA SUN LIFE NIFTY 50 ETF,Aditya Birla Sun Life Nifty 50 Etf,adityabirlasunlifenifty50etf,index_fund,True
115788,NAVI LARGE CAP EQUITY FUND - NORMAL,Navi Large Cap Equity Fund - Normal,navilargecapequitynormal,large_cap,True
115790,NAVI LARGE CAP EQUITY FUND -,Navi Large Cap Equity Fund -,navilargecapequity,large_cap,True
115934,HDFC GOLD ETF FUND OF FUND -,Hdfc Gold Etf Fund Of Fund -,hdfcgoldetfof,index_fund,True
116075,INVESCO INDIA GOLD ETF FUND OF FUND - - ( / ),Invesco India Gold Etf Fund Of Fund - - ( / ),invescogoldetfof,index_fund,True
116077,INVESCO INDIA GOLD ETF FUND OF FUND - -,Invesco India Gold Etf Fund Of Fund - -,invescogoldetfof,index_fund,True
116547,GROWW LARGECAP FUND (FORMERLY KNOWN AS INDIABULLS BLUE CHIP FUND) - -,Groww Largecap Fund (Formerly Known As Indiabulls Blue Chip Fund) - -,growwlargecapformerlyknownasindiabullsbluechip,large_cap,True
116548,GROWW LARGECAP FUND (FORMERLY KNOWN AS INDIABULLS BLUECHIP FUND)- - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( & ),Groww Largecap Fund (Formerly Known As Indiabulls Bluechip Fund)- - - Income Distribution Cum Capital Withdrawal ( & ),growwlargecapformerlyknownasindiabullsbluechipincomedistributioncumcapitalwithdrawal,large_cap,True
117619,ICICI PRUDENTIAL US BLUECHIP EQUITY FUND -,Icici Prudential Us Bluechip Equity Fund -,iciciprudentialusbluechipequity,large_cap,True
117620,ICICI PRUDENTIAL US BLUECHIP EQUITY FUND -,Icici Prudential Us Bluechip Equity Fund -,iciciprudentialusbluechipequity,large_cap,True
118043,L&T FLEXICAP FUND- -,L&T Flexicap Fund- -,ltflexicap,multi_cap,True
118044,L&T FLEXICAP FUND- -,L&T Flexicap Fund- -,ltflexicap,multi_cap,True
118049,L&T LARGE AND MIDCAP FUND- -,L&T Large And Midcap Fund- -,ltlargeandmidcap,mid_cap,True
118050,L&T LARGE AND MIDCAP FUND- -,L&T Large And Midcap Fund- -,ltlargeandmidcap,mid_cap,True
118069,L&T INDIA LARGE CAP FUND - -,L&T India Large Cap Fund - -,ltlargecap,large_cap,True
118070,L&T INDIA LARGE CAP FUND - -,L&T India Large Cap Fund - -,ltlargecap,large_cap,True
118269,CANARA ROBECO LARGE CAP FUND - -,Canara Robeco Large Cap Fund - -,canararobecolargecap,large_cap,True
118270,CANARA ROBECO LARGE CAP FUND - - ( / ),Canara Robeco Large Cap Fund - - ( / ),canararobecolargecap,large_cap,True
118275,CANARA ROBECO FLEXICAP FUND - -,Canara Robeco Flexicap Fund - -,canararobecoflexicap,multi_cap,True
